#{"t_start": 1778020685.626938, "env_id": "letter-env"}
r,l,t
-50.0,15,1659.175978
-50.0,20,1660.554923
-50.0,15,1661.76509
-50.0,21,1663.344023
-50.0,9,1663.924927
-20.0,61,1668.490318
-50.0,7,1669.04749
-50.0,28,1671.335377
-50.0,10,1672.174289
-50.0,18,1673.327464
-50.0,52,1677.47805
-50.0,30,1679.830357
-50.0,5,1680.118978
-40.0,18,1681.375609
-50.0,12,1682.389484
-50.0,11,1683.272838
-40.0,15,1684.437276
-50.0,13,1685.367919
-50.0,20,1686.905478
-50.0,3,1687.192251
-50.0,15,1688.497166
-40.0,52,1692.209081
-40.0,51,1695.793764
-50.0,9,1696.649674
-50.0,48,1700.012205
-50.0,7,1700.345697
-50.0,43,1703.776388
-40.0,54,1707.991387
-50.0,17,1709.129873
-20.0,93,1715.750326
-20.0,109,1723.693778
-50.0,19,1725.17429
-20.0,82,1731.404725
-20.0,44,1734.674337
-50.0,3,1734.691419
-50.0,48,1738.171694
-50.0,20,1739.882139
-50.0,18,1741.280988
-40.0,33,1743.731183
-50.0,5,1744.016057
-50.0,17,1745.618525
-50.0,15,1746.527244
-50.0,9,1747.32937
-50.0,19,1748.476789
-50.0,29,1750.782116
-50.0,21,1752.431644
-50.0,48,1755.949846
-50.0,18,1757.088244
-50.0,21,1758.934457
-50.0,40,1761.658426
-50.0,3,1761.681657
-50.0,32,1764.037579
-50.0,7,1764.612091
-40.0,34,1767.226279
-40.0,65,1771.806922
-50.0,49,1775.436493
-50.0,11,1776.270329
-50.0,7,1776.863605
-50.0,5,1777.165131
-50.0,26,1778.964146
-50.0,18,1780.464938
-50.0,38,1783.080149
-50.0,15,1784.285462
-50.0,24,1786.123527
-40.0,36,1788.825036
-50.0,7,1789.428781
-50.0,13,1790.26908
-40.0,53,1794.232045
-50.0,25,1796.169667
-50.0,14,1797.034377
-50.0,21,1798.401718
-50.0,19,1799.914812
-50.0,116,1808.559468
-50.0,10,1809.414528
-50.0,32,1811.62735
-50.0,34,1814.141172
